classifier,train_accuracy,train_balanced_accuracy,train_confusion_matrix(tn|fp|fn|tp),train_precision,train_recall,train_f1_score,test_accuracy,test_balanced_accuracy,test_confusion_matrix(tn|fp|fn|tp),test_precision,test_recall,test_f1_score
LogisticRegression,0.9574485627477186,0.5000611110918207,[7.19982e+04 2.00000e-01 3.19960e+03 4.00000e-01],0.3,0.000125,0.00024988287350084424,0.9574459030754239,0.5,[17999.6     0.    800.      0. ],0.0,0.0,0.0
SGDClassifier,0.7695763542762512,0.5190950671473045,[57085.8 14912.6  2415.    785. ],0.182364031885458,0.2453125,0.08070347928637898,0.7693721814084724,0.5184804407343618,[14268.6  3731.    604.6   195.4],0.1671087270295087,0.24425,0.07874065640860697
RidgeClassifier,0.9574459031025153,0.5,[71998.4     0.   3200.      0. ],0.0,0.0,0.0,0.9574459030754239,0.5,[17999.6     0.    800.      0. ],0.0,0.0,0.0
LinearDiscriminantAnalysis,0.9574459031025153,0.5,[71998.4     0.   3200.      0. ],0.0,0.0,0.0,0.9574459030754239,0.5,[17999.6     0.    800.      0. ],0.0,0.0,0.0
PassiveAggressiveClassifier,0.5953509262495509,0.49577574944198793,[43531.2 28467.2  1961.8  1238.2],0.1085091466253306,0.3869375,0.03328086161580879,0.5954575113207696,0.4968167071010118,[10883.2  7116.4   488.8   311.2],0.06672425119815646,0.389,0.03402707733940623
GaussianNB,0.8975696260879686,0.6460762039137886,[66308.   5690.4  2012.2  1187.8],0.17271606928362523,0.37118750000000006,0.23573645193193102,0.89744459641923,0.6459213348272435,[16574.8  1424.8   503.2   296.8],0.17240743321748891,0.371,0.23538728649173352
Perceptron,0.7656429654470559,0.5260588856445543,[56729.8 15268.6  2354.6   845.4],0.1546082351781805,0.26418749999999996,0.0908708954579273,0.7653393712657872,0.5241387873400374,[14179.6  3820.    591.6   208.4],0.16056564504979046,0.2605,0.08638433642589347
ExtraTreeClassifier,1.0,1.0,[71998.4     0.      0.   3200. ],1.0,1.0,1.0,0.9195514813486005,0.5364689453426424,[17193.    806.6   705.8    94.2],0.10463468532624343,0.11775,0.11080083980293769
DecisionTreeClassifier,1.0,1.0,[71998.4     0.      0.   3200. ],1.0,1.0,1.0,0.9179663330892431,0.544002246575427,[17149.2   850.4   691.8   108.2],0.11268565986864407,0.13524999999999998,0.12289903396857979
RandomForestClassifier,0.9999494669533453,0.99940625,[7.19984e+04 0.00000e+00 3.80000e+00 3.19620e+03],1.0,0.9988125,0.9994057171492965,0.9573927121519592,0.5010472206789266,[1.79968e+04 2.80000e+00 7.98200e+02 1.80000e+00],0.3566666666666667,0.00225,0.004471434728703783
AdaBoostClassifier,0.9573900509422943,0.5005381932484284,[7.19904e+04 8.00000e+00 3.19620e+03 3.80000e+00],0.34879336349924583,0.0011875,0.0023651622471395,0.9574033493180375,0.5003361104937929,[1.79982e+04 1.40000e+00 7.99400e+02 6.00000e-01],0.2333333333333333,0.00075,0.0014950171271696227
BaggingClassifier,0.9915663067238543,0.9010555553819399,[7.19974e+04 1.00000e+00 6.33200e+02 2.56680e+03],0.9996096126413212,0.802125,0.8899866420806593,0.9563182202991785,0.5093249753072702,[1.79618e+04 3.78000e+01 7.83400e+02 1.66000e+01],0.2961018007681541,0.020749999999999998,0.03870673781520691
GradientBoostingClassifier,0.9577996338278407,0.5049326380786839,[7.19932e+04 5.20000e+00 3.16820e+03 3.18000e+01],0.861918923199411,0.0099375,0.01964579140479889,0.9572012143018019,0.5010666620367799,[1.7993e+04 6.6000e+00 7.9800e+02 2.0000e+00],0.22454545454545455,0.0024999999999999996,0.0049437789374224455
SVC,0.9574459031025153,0.5,[71998.4     0.   3200.      0. ],0.0,0.0,0.0,0.9574459030754239,0.5,[17999.6     0.    800.      0. ],0.0,0.0,0.0
KNeighborsClassifier,0.9585602886069753,0.5304131764077382,[71882.4   116.   3000.2   199.8],0.6325785232236004,0.0624375,0.1136383583886639,0.9547756371151476,0.5078027376520918,[1.7934e+04 6.5600e+01 7.8460e+02 1.5400e+01],0.18985364044360373,0.019250000000000003,0.034944423646313005
MLPClassifier,0.9487995089462885,0.5230464450798095,[71163.6   834.8  3015.4   184.6],0.3293947667938582,0.05768749999999999,0.04865034379347693,0.9484454384739796,0.5221746799204894,[17785.4   214.2   755.     45. ],0.1081425026586317,0.05625,0.04722032859562912
MLPClassifier,0.8694126347738619,0.5863713747147368,[64492.   7506.4  2313.6   886.4],0.17761252319276444,0.27699999999999997,0.13305005841243095,0.8704419661299323,0.5867892773363952,[16142.6  1857.    578.6   221.4],0.17549128522052307,0.27675,0.13247856680606035
MLPClassifier,0.9480068224173699,0.5236477429156996,[71097.2   901.2  3008.6   191.4],0.255531857813548,0.059812500000000005,0.04851515390143423,0.9483395167013183,0.5248666648147118,[17778.8   220.8   750.4    49.6],0.14982188295165394,0.062,0.04967410667920704
MLPClassifier,0.9424589908583174,0.5383088791643218,[70562.4  1436.   2891.    309. ],0.4199669131088575,0.0965625,0.07438510753966268,0.9424557915597592,0.5352911613916823,[17645.6   354.    727.8    72.2],0.19113163263706462,0.09025000000000001,0.06902147301889851
